metric,group_col,group1,group2,n1,n2,mean1,sd1,mean2,sd2,t_stat,p_value,cohens_d,p_adj_fdr,reject_fdr
total_steps,gender,Male,Female,12116,13851,7643.0250082535495,11137.598892394166,9974.620677207422,48643.93253442163,-5.479317158120945,4.336305619602305e-08,-0.06417380960448218,5.711508071625081e-52,True
mean_hr,gender,Male,Female,12447,14178,79.30950653091179,11.228015323012276,80.78628266247756,10.345191092569902,-11.107368511616723,1.3437479105980637e-28,-0.1371586823876792,5.711508071625081e-52,True
sleep_duration,gender,Male,Female,1789,1320,3.959948295136948,2.8637178167888715,3.5702297979797986,2.437841043105361,4.088419970442329,4.4555860431782894e-05,0.14481391835873034,5.711508071625081e-52,True
percent_active,gender,Male,Female,12446,14178,15.30592794605331,10.709287278542794,17.329372432492757,10.979090912971209,-15.201905744590704,5.711508071625081e-52,-0.186427278299175,5.711508071625081e-52,True
ASLEEP_MIN,gender,Male,Female,1789,1320,214.24930128563443,154.6774496470683,195.52954545454546,132.93738899104656,3.6186297014097417,0.0003009986826403849,0.12835409424363284,5.711508071625081e-52,True
INBED_VALUE,gender,Male,Female,1789,1320,237.3320290665176,171.79619704522736,213.82954545454547,146.31436822834135,4.1090048258811285,4.078502857255017e-05,0.1455528220064527,5.711508071625081e-52,True
sleep_efficiency,gender,Male,Female,1789,1320,0.9035839281804643,0.0749514136964279,0.9181643503312976,0.07465704647563988,-5.373457496579277,8.347874248865816e-08,-0.19485616515103224,5.711508071625081e-52,True
MOOD,gender,Male,Female,25147,30638,7.197160695112737,2.1753307422391037,7.270644297930675,2.1117846355052152,-4.022439876911994,5.7678071843643765e-05,-0.034327486886947034,5.711508071625081e-52,True
